indiv	node	x	y
0	84	95.20591580850174	49.78425412052769
0	85	95.20591580850174	49.78425412052769
1	18	42.23678576255418	53.44938731086753
1	19	42.23678576255418	53.44938731086753
2	108	40.73942183157861	73.772443864953
2	109	40.73942183157861	73.772443864953
3	70	21.34135812972622	88.81947323902918
3	71	21.34135812972622	88.81947323902918
4	22	75.25372826471084	84.81437341853838
4	23	75.25372826471084	84.81437341853838
5	40	78.03485698229198	86.66674686262722
5	41	78.03485698229198	86.66674686262722
6	62	32.98599268407831	49.37898077144221
6	63	32.98599268407831	49.37898077144221
7	104	89.73880373510703	25.884688277851758
7	105	89.73880373510703	25.884688277851758
8	82	66.47534626656855	59.08915288020514
8	83	66.47534626656855	59.08915288020514
9	88	4.398944131636828	11.039869313784592
9	89	4.398944131636828	11.039869313784592
10	44	21.429860225903106	72.5294408755138
10	45	21.429860225903106	72.5294408755138
11	12	76.63638434795102	44.86965893675717
11	13	76.63638434795102	44.86965893675717
12	136	77.59007500137321	43.93263271348636
12	137	77.59007500137321	43.93263271348636
13	156	83.19659849269787	88.84607588477596
13	157	83.19659849269787	88.84607588477596
14	54	55.71857747992587	61.536441401134674
14	55	55.71857747992587	61.536441401134674
15	110	47.64821116783836	10.33161072913865
15	111	47.64821116783836	10.33161072913865
16	74	51.369835055388286	74.46886155780004
16	75	51.369835055388286	74.46886155780004
17	150	43.90861377901001	31.765130970035482
17	151	43.90861377901001	31.765130970035482
18	114	54.79800585570727	32.56242959039754
18	115	54.79800585570727	32.56242959039754
19	38	93.29849138880205	67.87706514420393
19	39	93.29849138880205	67.87706514420393
20	138	63.0456229984047	67.7068083964095
20	139	63.0456229984047	67.7068083964095
21	72	3.4160242677821193	88.69286634367987
21	73	3.4160242677821193	88.69286634367987
22	50	23.065254803828935	33.34895690084778
22	51	23.065254803828935	33.34895690084778
23	66	75.47980398895328	14.671094126444217
23	67	75.47980398895328	14.671094126444217
24	68	82.04339853439353	15.863037647235632
24	69	82.04339853439353	15.863037647235632
25	30	14.104334244070134	10.545693975867442
25	31	14.104334244070134	10.545693975867442
